citekey;zotero_key;author;year;title;field;tags;status
hendricksonObamaWarCongress2015;6WSCNB87;Hendrickson;2015;Obama at war: Congress and the imperial presidency;Political Science;Obama, war_&_violence;claude
hermanManifestationsRhetoriquesFrontieres2011/janv./01;ERX2M7HR;Herman;2011;Manifestations rhétoriques des frontières idéologiques : le cas des minarets helvétiques;Rhetoric & Argumentation;ideology, war_&_violence;zotero
hermanRhetoriqueCognitionPerspectives2014a;FR9BQHXW;Herman;2014;L’argument d’autorité: de sa structure à ses effets;Linguistics, Rhetoric & Argumentation;argumentation, political_discourse, rhetorical_proofs;claude
hermanEclairagesDimensionRhetorique2018;JFRHGP7P;Herman;2018;Éclairages, dimension rhétorique et argumentation à l’épreuve des tweets de Donald Trump;Rhetoric & Argumentation;Trump, argumentation, media, political_discourse;zotero
hermanCommentaryJohnCaseys;2SU2FTD4;Herman;2020;Commentary on John P. Casey’s “The Persuasive Force of the Ad Baculum”;Rhetoric & Argumentation;argumentation, fear_appeal, threat;claude
hermanEthosPragmatics2022;R7FQKML3;Herman;2022;Ethos and Pragmatics;Pragmatics;rhetorical_proofs;claude
hermanRhetoriqueCognitionPerspectives2014;HQ3ZS3DM;Herman;2014;Rhétorique et cognition: perspectives théoriques et stratégies persuasives;Linguistics, Rhetoric & Argumentation;argumentation, cognition, persuasion, political_discourse;claude
heywoodPoliticalIdeologiesIntroduction2022;RIYJGAWN;Heywood;2022;Political ideologies: an introduction;Political Science;conservatism, ideology;claude
hindessWhistlingDog2014;DTA8PZH4;Hindess;2014;Whistling the dog;Political Science;dog_whistling, political_discourse;claude
hobbesLeviathan2018;H3D37KIT;Hobbes;2018;Leviathan;Philosophy;fear, ideology;claude
hodgesDiscourseWarTerrorism2007;BAYFM23A;Hodges;2007;Discourse, war and terrorism;Discourse Analysis;terrorism, war_&_violence;claude
RHETORICBUSHSPEECHES;3KP5INFT;Hoffmann;2005;RHETORIC OF BUSH SPEECHES: Purr Words and Snarl Words;Rhetoric & Argumentation;Bush, emotive_words;claude
hofstadterParanoidStyleAmerican1979;GZV3SQPW;Hofstadter;1979;The paranoid style in American politics, and other essays;History;conspiracy, enemy_&_otherness, fear, american_political_history;claude
hoganFloodsInvadersParasites2015a;ULPIBBZ7;Hogan;2015;Floods, Invaders, and Parasites: Immigration Threat Narratives and Right-Wing Populism in the USA, UK and Australia;Discourse Analysis;immigration, metaphor, populism, threat;claude
hollifieldAmericanImmigrationPolitics2016;HWPUN7KM;Hollifield;2016;American Immigration Politics: An Unending Controversy;Political Science;immigration, racism_&_prejudice;claude
holtzmanGeorgeBushsRhetoric2010;PFSR9TBK;Holtzman;2010;George W. Bush's Rhetoric of Compassionate Conservatism and Its Value as a Tool of Presidential Politics;Rhetoric & Argumentation;Bush, conservatism;claude
Horvath_CDO_Obama;5FUMDMCQ;Horvath;2009;A critical discourse analysis of Obama’s political discourse.;Discourse Analysis;Obama, ideology, political_discourse;claude
hovlandCommunicationPersuasionPsychological1982;EGDHMHTI;Hovland;1982;Communication and persuasion: psychological studies of opinion change;Psychology & Neuroscience;fear_appeal, persuasion;claude
howeMetaphorContemporaryAmerican1988a;SVX7XP59;Howe;1988;Metaphor in Contemporary American Political Discourse;Linguistics;metaphor, political_discourse;claude
howison1980PresidentialElection2014a;I7F8SRKG;Howison;2014;The 1980 presidential election: Ronald Reagan and the shaping of the American conservative movement;History;conservatism, american_political_history;claude
hubanksPraiseBlameAdvocacy2009;F8C7XJSC;Hubanks;2009;Praise, Blame and Advocacy: An Examination of President George W. Bush’sPost-9/11 Discourse and the Rhetorical Genres that Define it;Rhetoric & Argumentation;Bush, political_discourse, terrorism;claude
huddlestonCambridgeGrammarEnglish2002;BUGGJU67;Huddleston;2002;The Cambridge grammar of the English language;Grammar;grammar;claude
hughesGodCardStrategic2019;8U3BUSZL;Hughes;2019;The God Card: Strategic Employment of Religious Language in U.S. Presidential Discourse;Rhetoric & Argumentation;political_discourse, religion;claude
hunterCultureWarsStruggle1991;6H28QGU6;Hunter;1991;Culture wars: the struggle to define America;Sociology;conservatism, religion;claude
iliePragmaticsVsRhetoric2018;W4MMGEA4;Ilie;2018;Pragmatics vs rhetoric: Political discourse at the pragmatics-rhetoric interface;Pragmatics;political_discourse, rhetorical_proofs;claude
innocentiNormativePragmaticModel2011;AMVI9MW4;Innocenti;2011;A Normative Pragmatic Model of Making Fear Appeals;Rhetoric & Argumentation;argumentation, fear, fear_appeal;claude
iverachDeathAnxietyIts2014;C85FB8HH;Iverach;2014;Death anxiety and its role in psychopathology: Reviewing the status of a transdiagnostic construct;Psychology & Neuroscience;fear;claude
ivieHuntDevilDemonology2015;7JZBNVRC;Ivie;2015;Hunt the Devil: a demonology of US war culture;Rhetoric & Argumentation;enemy_&_otherness, religion, war_&_violence;claude
jablonkaNumbersDonSpeak2021;B3Q4HQUN;Jablonka;2021;Numbers don’t speak for themselves: strategies of using numbers in public policy discourse;Discourse Analysis, Mathematics & Statistics;political_discourse;claude
jacksonWritingWarTerrorism2005;79P2JKSK;Jackson;2005;Writing the War on Terrorism: Language, Politics and Counter-terrorism;Discourse Analysis, Political Science;Bush, political_discourse, terrorism;zotero
CJSSR+149;2QSQ2IYE;Jamshaid;2015;"Language and Human Emotions: A Critical Discourse Analysis of the Speech by the President of U.s.a. Barack Obama’s Farewell: ""Yes We Did"".";Discourse Analysis;Obama, emotion;claude
janoff-bulmanProvideProtectMotivational2009;BCPH5QPR;Janoff-Bulman;2009;To Provide or Protect: Motivational Bases of Political Liberalism and Conservatism;Psychology & Neuroscience;conservatism, threat;claude
johnsonSleepyJoeRecalling2021;FNM9AXQA;Johnson;2021;Sleepy Joe? Recalling and Considering Donald Trump’s Strategic Use of Nicknames;Political Science;Trump, enemy_&_otherness;claude
johnsonDiscourseAnalysis2020;9MTIXGQZ;Johnson;2020;Discourse Analysis;Discourse Analysis;methodology;claude
jolleyFearFactorExamining2025;YSSI994V;Jolley;2025;The fear factor: examining the impact of fear on vaccine hesitancy and anti-vaccine conspiracy beliefs;Psychology & Neuroscience;conspiracy, fear, health_&_pandemic;claude
jonesEdmundBurkeInvention2017;SUQ35ZVP;Jones;2017;Edmund Burke and the invention of modern conservatism, 1830-1914: an intellectual history;History;conservatism;claude
jorgensenDiscourseAnalysisTheory2002;QLETCRY2;Jørgensen;2002;Discourse Analysis as Theory and Method;Discourse Analysis;ideology, methodology;claude
jostPoliticalConservatismMotivated2003;4FTZU44H;Jost;2003;Political conservatism as motivated social cognition.;Psychology & Neuroscience;cognition, conservatism, fear, threat;claude
bursens2017;HKSXHHYD;Kalkhoven;2017;Politics, it has never been so simple;Political Science;political_discourse, populism;claude
katzUndeservingPoorAmericas2013;XU2YJE8X;Katz;2013;The undeserving poor: America's enduring confrontation with poverty;History;enemy_&_otherness, ideology, american_political_history;claude
kavaliersAntipredatorResponsesDefensive2001;7BRXPGJY;Kavaliers;2001;Antipredator responses and defensive behavior: ecological and ethological approaches for the neurosciences;Psychology & Neuroscience;fear, threat;claude
kayamReadabilitySimplicityDonald2018;4VFLFX6L;Kayam;2018;The Readability and Simplicity of Donald Trump’s Language;Linguistics;Trump, populism;claude
kellnerBushspeakPoliticsLying2007;L7FFYN7W;Kellner;2007;"Bushspeak and the Politics of Lying: Presidential Rhetoric in the ""War on Terror""";Discourse Analysis;enemy_&_otherness, fear, manipulation, post-truth, terrorism;zotero
kerbrat-orecchioniLimpolitesseInteractionApercus2010;6BFWQPWF;Kerbrat-Orecchioni;2010;L’impolitesse en interaction: Aperçus théoriques et étude de cas;Pragmatics;politeness;claude
kershawHitlerMythImage2001;R3ZPFYGU;Kershaw;2001;"The ""Hitler myth"": image and reality in the Third Reich";History;far_right, manipulation, narratives;claude
kesslerDonaldTrumpHis2020;LPL73V6S;Kessler;2020;Donald Trump and his assault on truth: the President's falsehoods, misleading claims and flat-out lies;Political Science;Trump, post-truth;claude
keyesPostTruthEraDishonesty2004a;5C298FNH;Keyes;2004;The Post-Truth Era: Dishonesty and Deception in Contemporary Life;Sociology;post-truth;claude
khaderUnitedStatesIran;QXQQDGYL;Khader;2021;The United States and Iran: From Past Complicity to the Fight against the “Satans”;Political Science;enemy_&_otherness, religion;claude
hart2014;7FBD25CJ;Khosravinik;2014;Immigration Discourses and Critical Discourse Analysis : Dynamics of World Events and Immigration Representations in the  British Press;Discourse Analysis;immigration, media;claude
kimPresidentObamaPolymorphous2011;SAGTJUQE;Kim;2011;President Obama and the Polymorphous Other in U.S. Political Discourse;Political Science;Obama, conservatism, enemy_&_otherness, racism_&_prejudice;zotero
kirkConservativeMindBurke2001;QYQ42BJD;Kirk;2001;The Conservative Mind: From Burke to Eliot;Philosophy;conservatism;claude
kirkwoodLanguagePlanningSoviet1990;N7RTZ333;Kirkwood;1990;Language Planning in the Soviet Union;Sociology;ideology, sociolinguistics;claude
kitisChapter16Motion2009;IASHG37I;Kitis;2009a;Chapter 16. From motion to emotion to interpersonal function: The case of fear predicates;Linguistics;emotion_words, fear, semantics;claude
lewandowska-tomaszczyk2009;VG47EGYN;Kitis;2009b;Emotions as Discursive Constructs: The Case of the Psych-Verb 'Fear;Corpus Linguistics;emotion_words, fear;claude
koderaCountabilityEmotionNouns2021;VC9DJIJL;Kodera;2021;Countability of Emotion Nouns and State Nouns;Grammar;emotion, emotion_words, nominalization, grammar;claude
kovecsesMetaphorEmotionLanguage2004;CYLLEAX7;Kövecses;2004;Metaphor and emotion: language, culture, and body in human feeling;Linguistics;emotion, emotion_words, metaphor;claude
kreisTweetPoliticsPresident2017;G92TSENC;Kreis;2017;The “Tweet Politics” of President Trump;Discourse Analysis;Trump, media, populism;claude
kriegerEvolutionaryDynamicsHyperbolic2023;XNZLDY6Y;Krieger;2023;Evolutionary dynamics of hyperbolic language;Linguistics, Mathematics & Statistics;hyperbole_&_figures;claude
krzyzanowskiNormalizationDiscursiveConstruction2020;GXL92ZRH;Krzyzanowski;2020;Normalization and the discursive construction of “new” norms and “new” normality: discourse in the paradoxes of populism and neoliberalism;Discourse Analysis;far_right, ideology, populism;claude
kuypersRhetoricalCriticismPerspectives2009;45RXXKTI;Kuypers;2009;Rhetorical criticism: perspectives in action;Rhetoric & Argumentation;rhetorical_proofs;claude
haviland-jonesHandbookEmotions2016a;L7256KPJ;Labar;2016;Fear and axiety;Psychology & Neuroscience;fear;claude
poster1993;8KIQXTV9;Laclau;1993;Power and Representation;Philosophy;ideology;claude
laclauPopulistReason2005;6FJTJPL8;Laclau;2005;On populist reason;Philosophy;ideology, populism;claude
laclauHegemonySocialistStrategy2001;DRA3PSM2;Laclau;2001;Hegemony and socialist strategy: towards a radical democratic politics;Philosophy;ideology;claude
lakoffMappingBrainMetaphor2014;A2FW4Q8K;Lakoff;2014a;Mapping the brain's metaphor circuitry: metaphorical thought in everyday reason;Psychology & Neuroscience;cognition, metaphor;claude
lakoffAllNewDont2014;BDPKBUHX;Lakoff;2014b;The all new don't think of an elephant! know your values and frame the debate;Linguistics;conservatism, frames, political_discourse;claude
lakoffLanguageEmotion2016;N63DV3KF;Lakoff;2016a;Language and Emotion;Linguistics;emotion, ideology, metaphor;claude
lakoffMoralPoliticsHow2016;DIRPXATK;Lakoff;2016b;Moral Politics: How Liberals and Conservatives Think, Third Edition;Linguistics;conservatism, frames, metaphor;claude
lakoffMetaphorsWeLive1980;6EFVCGBZ;Lakoff;1980;Metaphors we live by;Linguistics;cognition, metaphor;zotero
lambrechtInformationStructureSentence1994;EJHY68A7;Lambrecht;1994;Information structure and sentence form: topic, focus, and the mental representations of discourse referents;Grammar;grammar;claude
langloisBrexitVoteTrump2021;2KTVR7PS;Langlois;2021;The Brexit Vote and The Trump Vote: A comparative study of the common trends and factors that led to a populist radical right vote in Britain and the United States;Political Science;Trump, far_right, populism;claude
lapaireLinguistiqueGrammaireLanglais2002;AXTS7NQF;Lapaire;2002;Linguistique et grammaire de l'anglais;Grammar;grammar;claude
lazarsfeldPeoplesChoiceHow2021;S63IAUJW;Lazarsfeld;2021;The people's choice: how the voter makes up his mind in a presidential campaign;Sociology;media, persuasion;claude
ledouxEmotionalBrainFear2003;NI6KIKRZ;Ledoux;2003;The Emotional Brain, Fear, and the Amygdala;Psychology & Neuroscience;cognition, fear;claude
ledouxUsingNeuroscienceHelp2016;N4P8UWFT;Ledoux;2016;Using Neuroscience to Help Understand Fear and Anxiety: A Two-System Framework;Psychology & Neuroscience;fear;claude
leeUsThemWar2017;4U9E2SHI;Lee;2017;Us, them, and the war on terror: reassessing George W. Bush’s rhetorical legacy;Rhetoric & Argumentation;Bush, enemy_&_otherness, terrorism;zotero
leechPragmaticsPoliteness2014;3E7AH5ZK;Leech;2014;The pragmatics of politeness;Pragmatics;politeness;claude
lefebvrePopulismePopulaireFrance2026;DLKD5JK9;Lefebvre;2026;Le populisme et le populaire. La France insoumise au prisme de sa représentation parlementaire:;Political Science;populism;claude
leonardConspiracyTheoriesPublic2021;X6X98J2G;Leonard;2021;Conspiracy Theories: A Public Health Concern and How to Address It;Psychology & Neuroscience;conspiracy, health_&_pandemic;claude
lernerEmotionDecisionMaking2015;YTH3TT5C;Lerner;2015;Emotion and Decision Making;Psychology & Neuroscience;cognition, emotion;claude
levinFormationAdjectivalPassives1986;FYE9XFW9;Levin;1986;The Formation of Adjectival Passives;Grammar;emotion_words, grammar;claude
Content;CHH9DV3Z;Levinson;1988;Putting linguistics on a proper footing: Explorations in Goffman's participation framework;Pragmatics;pronouns;claude
liScarcityMindsetReduces2023;GDSE6XBU;Li;2023;Scarcity mindset reduces empathic responses to others’ pain: the behavioral and neural evidence;Sociology;cognition, emotion, scarcity;claude
liangEffectPerceivedScarcity2021;SXDSEHJS;Liang;2021;The Effect of Perceived Scarcity: Experiencing Scarcity Increases Risk Taking;Sociology;scarcity, threat;zotero
liekefettCanConspiracyBeliefs2023;99QJ7J2U;Liekefett;2023;Can Conspiracy Beliefs Be Beneficial? Longitudinal Linkages Between Conspiracy Beliefs, Anxiety, Uncertainty Aversion, and Existential Threat;Psychology & Neuroscience;conspiracy, fear, threat;claude
oswaldPalgraveHandbookPopulism2022;UUCD8X9F;Oswald;2022;The Palgrave Handbook of Populism;Political Science;populism;claude
lofflmannEnemiesPeopleDonald2022;UZ8VIDF3;Löfflmann;2022;‘Enemies of the people’: Donald Trump and the security imaginary of America First;Political Science;Trump, enemy_&_otherness, threat;claude
cciittaattiioonnFollowThisAdditional;RBYQ7IQM;Long;2013;"""Terrorism"" in the Age of Obama : The Rhetorical Evolution of President Obama's Discourse of the ""War on Terror""";Rhetoric & Argumentation;Obama, terrorism;claude
lovecraftHPLovecraftComplete2011;XTWRTKTB;Lovecraft;2011;H.P. Lovecraft: the complete fiction;Literature;fear;claude
luntzWordsThatWork2007;NIKD4LVP;Luntz;2007;Words that work: it's not what you say, it's what people hear;Rhetoric & Argumentation;conservatism, frames, persuasion;claude
lyonsDefiniteness1999;YBWEG5RF;Lyons;1999;Definiteness;Grammar;grammar;claude
macagnoArgumentativeStructurePersuasive2008;RQZV4HVV;Macagno;2008;The Argumentative Structure of Persuasive Definitions;Rhetoric & Argumentation;argumentation, definition;claude
macagnoWhatWeHide2010;ZCU8VFUT;Macagno;2010a;What we hide in words: Emotive words and persuasive definitions;Discourse Analysis;argumentation, definition, emotion;zotero
macagnoArgumentativeUsesEmotive2010;SKAHYEST;Macagno;2010b;The Argumentative Uses of Emotive Language;Rhetoric & Argumentation;argumentation, emotive_words;claude
macagnoEmotiveLanguageArgumentation2014;BLUHVF3W;Macagno;2014;Emotive language in argumentation;Rhetoric & Argumentation;argumentation, definition, emotion, emotive_words;claude
macagnoEmotiveMeaningPolitical2019;NYIXVZVW;Macagno;2019;Emotive Meaning in Political Argumentation;Rhetoric & Argumentation;argumentation, emotive_words, political_discourse;claude
machiavelliPrince2003;ZFFKKCH5;Machiavelli;2003;The prince;Philosophy;fear, ideology;claude
gardelle2015;V94365RD;Macrae;2015;‘You’ and ‘I’ in charity fundraising appeals;Pragmatics;persuasion, pronouns;claude
hermanRhetoriqueCognitionPerspectives2014b;PHXPHZRT;Maillat;2014;Manipulation et cognition: un modèle pragmatique;Linguistics, Rhetoric & Argumentation;cognition, manipulation, political_discourse;claude
maitlandPronominalSelectionIdeological1987;B2TPBN2B;Maitland;1987;Pronominal selection and ideological conflict;Pragmatics;ideology, pronouns;claude
marronWagingWarWar2020;5AZPWD5I;Marron;2020;Waging War on War Metaphors in Cancer and COVID-19;Sociology;health_&_pandemic, metaphor, war_&_violence;claude
martinRhetoricDiscourseHermeneutics2022;MFQ2JHHF;Martin;2022;Rhetoric, discourse and the hermeneutics of public speech;Discourse Analysis, Political Science, Rhetoric & Argumentation;ideology, post-truth;zotero
martinLanguageEvaluationAppraisal2007;MEYMSXAD;Martin;2007;The language of evaluation: appraisal in English;Linguistics;emotion, emotive_words;claude
masseyWhyBorderEnforcement2016;7UF8JBMS;Massey;2016;Why Border Enforcement Backfired;Sociology;immigration;claude
masseyUndocumentedMigrationLatin2010;M9V6NMN3;Massey;2010;Undocumented Migration from Latin America in an Era of Rising U.S. Enforcement;Sociology;immigration;claude
massumiPoliticsAffect2015;HEI3BYVB;Massumi;2015;Politics of affect;Philosophy;emotion, fear;claude
knoblock2022;F6HRV4MB;Mattiello;2022;Language Aggression in English Slang: The Case of the -o Suffix;Grammar;emotive_words, grammar;claude
mayaffreLoecumenismeRadicalisationEvolution2026;AAV5HZPP;Mayaffre;2026;De l’œcuménisme à la radicalisation : évolution du discours d’Emmanuel Macron (2017-2025);Corpus Linguistics;political_discourse;claude
mccarthyTheresMillionsThem2004;EY5YKQY7;Mccarthy;2004;“There's millions of them”: hyperbole in everyday conversation;Pragmatics;hyperbole_&_figures;claude
mccomiskeyPosttruthRhetoricComposition2017;9VNTZB3P;Mccomiskey;2017;Post-truth rhetoric and composition;Rhetoric & Argumentation;post-truth;claude
mceneryCorpusLinguisticsMethod2012;59SC2W49;Mcenery;2012;Corpus linguistics: method, theory and practice;Linguistics, Corpus Linguistics;methodology;claude
mcintyrePosttruth2018;ZR9AG7MN;Mcintyre;2018;Post-truth;Philosophy;post-truth;claude
merskinConstructionArabsEnemies2004;QNBXDGLI;Merskin;2004;The Construction of Arabs as Enemies: Post-September 11 Discourse of George W. Bush;Sociology;Bush, enemy_&_otherness, racism_&_prejudice, terrorism;claude
merskinMakingEnemiesGeorge2005;38PTGJBV;Merskin;2005;Making Enemies in George W. Bush's Post-9/11 Speeches;Rhetoric & Argumentation;Bush, enemy_&_otherness, ideology, threat;claude
meyerPandemicPopulismAnalysis;SVPNEUML;Meyer;2020;Pandemic Populism: An Analysis of Populist Leaders’ Responses to Covid-19;Political Science;health_&_pandemic, populism;claude
mignotLinguistiqueAnglaiseCours2016;X3W77RGF;Mignot;2016;Linguistique anglaise: cours complet, méthodologie par l'exemple, exercices corrigés en ligne;Grammar;grammar;claude
mignotMorphologieNomAnglais2017;X8L8AWDZ;Mignot;2017;La morphologie du nom en anglais, vers une sémantique des parties du discours;Grammar;nominalization, grammar;claude
millerAudaciousAsceticWhat2015;NRE599K7;Miller;2015;The audacious ascetic: what the Bin Laden tapes reveal about al-Qa'ida;History;religion, terrorism;claude
millingtonBadHistoryHistorians2024;FJ2LG6SX;Millington;2024;Bad history: a historian’s critique of Rapoport’s “four waves of modern terrorism” model;History;terrorism;zotero
mishiUseFearAppeals2024;V46AZ4WL;Mishi;2024;The use of fear appeals for pandemic compliance: A systematic review of empirical measurement, fear appeal strategies and effectiveness;Psychology & Neuroscience;fear_appeal, health_&_pandemic;claude
mobbsEcologyHumanFear2015;JL8IR64L;Mobbs;2015;The ecology of human fear: survival optimization and the nervous system;Psychology & Neuroscience;fear, threat;claude
moffittGlobalRisePopulism2016;HEYBTQII;Moffitt;2016;The global rise of populism: performance, political style, and representation;Political Science;media, populism;zotero
moffittPopulism2020a;KKDIQF9J;Moffitt;2020;Populism;Political Science;populism;claude
mohammadWordAffectIntensities2017;E73KNDMZ;Mohammad;2018;Word Affect Intensities;Corpus Linguistics;emotion_words;claude
molinieDictionnaireRhetorique2006;5J9AUPFX;Molinie;2006;Dictionnaire de rhétorique;Rhetoric & Argumentation;hyperbole_&_figures;claude
mondonPopulismPublicOpinion2025;422WWXK3;Mondon;2025;Populism, public opinion, and the mainstreaming of the far right: The ‘immigration issue’ and the construction of a reactionary ‘people’;Political Science;far_right, immigration, populism;claude
mondonWordPopulismGift2024;5AS9JA6F;Mondon;2024;The word ‘populism’ is a gift to the far right – four reasons why we should stop using it;Political Science;definition, far_right, populism;claude
mongovenWarDiseaseWar2006;2RU2UXJM;Mongoven;2006;The War on Disease and the War on Terror: A Dangerous Metaphorical Nexus?;Philosophy;health_&_pandemic, metaphor, terrorism, war_&_violence;claude
moonsAngerFearResponses2010;Y9GTXN7X;Moons;2010;Anger and fear responses to stress have different biological profiles;Psychology & Neuroscience;emotion, fear;claude
morierDictionnairePoetiqueRhetorique1998;725CE73Y;Morier;1998;Dictionnaire de poétique et de rhétorique;Literature;hyperbole_&_figures;claude
ReturnPoliticalRadical;8SI3YK75;Mouffe;2005;The Return of the Political;Philosophy;enemy_&_otherness, ideology;claude
muddePopulistZeitgeist2004;3Q4DKQKD;Mudde;2004;The Populist Zeitgeist;Political Science;populism;claude
muddePopulismVeryShort2017;L3L8SHT7;Mudde;2017;Populism: a very short introduction;Political Science;populism;claude
mullainathanScarcityWhyHaving2013;PGGPLRRQ;Mullainathan;2013;Scarcity: why having too little means so much;Sociology;cognition, scarcity;claude
mullerUsThemEnduring2008;GBAH6886;Muller;2008;Us and them: The enduring power of ethnic nationalism;Political Science;enemy_&_otherness, far_right;claude
mullerWhatPopulism2017;FNRUD64F;Müller;2017;What is populism?;Political Science;populism;claude
mullinUSDiscoursePolitical2011;EJ46UWCP;Mullin;2011;The US discourse on political Islam: is Obama's a truly post-‘war on terror’ administration?;Political Science;Obama, religion, terrorism;claude
musolffPoliticalMetaphorAnalysis2016a;TKTV6KTD;Musolff;2016a;Political metaphor analysis: discourse and scenarios;Discourse Analysis, Political Science;metaphor, political_discourse;claude
nabiSubjectiveKnowledgeFear2008;A6HKMEP5;Nabi;2008;Subjective Knowledge and Fear Appeal Effectiveness: Implications for Message Design;Psychology & Neuroscience;fear_appeal, health_&_pandemic;claude
nadasenWidowWelfareQueen2007;QGKTZD8X;Nadasen;2007;From Widow to ?Welfare Queen?: Welfare and the Politics of Race;History;racism_&_prejudice, american_political_history;claude
nashPoliticalOrientationPsychological2022;U44WEWI6;Nash;2022;Political Orientation as Psychological Defense or Basic Disposition? A Social Neuroscience Examination;Psychology & Neuroscience;cognition, ideology, threat;claude
musolff2014;75Q5VZDP;Neagu;2014;Metaphor and self/other representations: A study on British and Romanian headlines on migration;Discourse Analysis;enemy_&_otherness, immigration, media, metaphor;claude
neveuxLexpressionLinguistiqueConcret;JI6FVJLI;Neveux;2010;L’expression linguistique du concret chez John Donne : le sentiment dans la langue;Linguistics;emotion, semantics;claude
neveuxLEXPRESSIVITELINGUISTIQUEANGLAIS;3IDVWQDI;Neveux;2025;L’expressivité Linguistique En Anglais. Interjeter, Augmenter Et Désaligner;Linguistics;emotive_words, hyperbole_&_figures;claude
norrickSemanticsOverstatement1982;CPDQ65QV;Norrick;1982;On the semantics of overstatement;Linguistics;hyperbole_&_figures, semantics;claude
norrisRadicalRightVoters2005;XPUSXD6V;Norris;2005;Radical right: voters and parties in the electoral market;Political Science;far_right;claude
novakovaLexiqueEmotions2019;C3W878VY;Novakova;2019;Le Lexique des émotions;Linguistics;emotion_words, semantics;claude
oberschallPaulLazarsfeldsUnderstanding;XCVMATGR;Oberschall;2022;Paul Lazarsfeld’s Understanding of the 1948 Electoral World and 2020;Sociology;media, persuasion;claude
oconnellStartupRhetoricEight2010;YHMD9YTF;O’Connell;2010;Start-up rhetoric in eight speeches of Barack Obama;Rhetoric & Argumentation;Obama, cognition, political_discourse;zotero
oddoWarLegitimationDiscourse2011;5HZCG28U;Oddo;2011;War legitimation discourse: Representing ‘Us’ and ‘Them’ in four US presidential addresses;Discourse Analysis;Bush, enemy_&_otherness, war_&_violence;zotero
oeserRhetoricPerpetualWarfare2016;NWUEFRBB;Oeser;2016;The Rhetoric of Perpetual Warfare: A Political Discourse Analysis of the Obama Administration’s Legitimation of U.S. Drone Strikesof the Obama Administration’s Legitimation of U.S. Drone Strikes;Discourse Analysis;Obama, legitimization, war_&_violence;claude
okeefePersuasionTheoryResearch2002;XCJYBCNL;O’Keefe;2002;Persuasion: Theory and Research;Rhetoric & Argumentation;fear_appeal, persuasion;claude
okeefeConvictionPersuasionArgumentation2012;NJY5GU9A;O’Keefe;2012;Conviction, Persuasion, and Argumentation: Untangling the Ends and Means of Influence;Rhetoric & Argumentation;argumentation, persuasion;claude
oliverRiseTrumpenvolkPopulism2016;GFGG2RS9;Oliver;2016;Rise of the Trumpenvolk: Populism in the 2016 Election;Political Science;Trump, populism;claude
ostmanYouKnowDiscourse2010;FMRL78PY;Östman;2010;You know: a discourse functional approach;Pragmatics;pronouns;claude
ostrowskiIdeology2022;VC7G8ZBJ;Ostrowski;2022;Ideology;Political Science;ideology;claude
oswaldPragmaticsUncooperativeManipulative2010;PY3DYTNZ;Oswald;2010;Pragmatics of Uncooperative and Manipulative Communication;Pragmatics;cognition, manipulation;claude
zotero-item-6295;CX3DMVF9;Oswald;2022;The New Age of Populism: Reapproaching  a Diffuse Concept;Political Science;definition, populism;claude
herman2014a;4FRUSPUH;Paparouni;2014;A case for emotion awareness;Linguistics, Rhetoric & Argumentation;emotion, political_discourse;claude
parkerHowVoteDepends2010;TQW4XZ79;Parker;2010;How I Vote Depends on How I Feel: The Differential Impact of Anger and Fear on Political Information Processing;Psychology & Neuroscience;cognition, emotion, fear;claude
parkerFourHorsemenTerrorism2016;ABQMS2VH;Parker;2016;The Four Horsemen of Terrorism: It's Not Waves, It's Strains;Political Science;far_right, religion, terrorism;claude
parsonsSocialSystem1991;JNQKSZ5U;Parsons;1991;The social system;Sociology;social_theory;claude
parsonsInnocenceDangerBorder2024;CVKREYBZ;Parsons;2024;Innocence and danger at the border: migrants, “Bad” mothers, and the nation’s protectors;Discourse Analysis;frames, immigration, metaphor;claude
pedersenConservatismNeuralCircuitry2018;UP7LKNN3;Pedersen;2018;Conservatism and the neural circuitry of threat: economic conservatism predicts greater amygdala–BNST connectivity during periods of threat vs safety;Psychology & Neuroscience;cognition, conservatism, threat;claude
wodak2018;UEPN57AS;Pelinka;2018;Identity politics, populism  and the far right;Political Science;far_right, ideology, populism;claude
pennebakerSecretLifePronouns2013;VFJUMQFK;Pennebaker;2013;The secret life of pronouns: what our words say about us;Corpus Linguistics, Psychology & Neuroscience;pronouns;claude
chLEmpireRhetoriqueRhetorique;HNPBKZ7K;Perelman;1977;L'Empire Rhétorique: Rhétorique et Argumentation;Rhetoric & Argumentation;argumentation;claude
perelmanTraiteLargumentationNouvelle2008;2Q593ZCN;Perelman;2008;"Traité de l'argumentation ; la nouvelle rhétorique";Rhetoric & Argumentation;argumentation, persuasion;zotero
petersonViolenceProjectDatabase2025;NRP6QJRS;Peterson;2025;The Violence Project database of mass shootings in the United States;Sociology;war_&_violence;claude
petropoulospetalasPoliticalIdeologyCorrelated2024;PV5M8EZ8;Petropoulos Petalas;2024;Is political ideology correlated with brain structure? A preregistered replication;Psychology & Neuroscience;ideology;zotero
pfauWhosAfraidFear2007;V3JCHWKR;Pfau;2007;Who's Afraid of Fear Appeals? Contingency, Courage, and Deliberation in Rhetorical Theory and Practice;Rhetoric & Argumentation;fear, fear_appeal, political_discourse;zotero
phelpsStudyEmotionNeuroeconomics2009;3TM7TYR4;Phelps;2009;The Study of Emotion in Neuroeconomics;Psychology & Neuroscience;cognition, emotion;claude
